title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
"Warhammer 40,000: Space Marine 2",2183900,Game,Saber Interactive,Focus Entertainment,Windows,"EasyAntiCheat AntiCheat , EpicOnlineServices SDK",31897199,25 October 2025 – 09:19:06 UTC ( ),9 September 2024 – 16:09:00 UTC ( ),82.74,180278,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:45:04.580874,https://steamdb.info/app/2183900/charts/
Party Animals,1260320,Game,Recreate Games,Source Technology,Windows,Unity Engine,31836395,22 October 2025 – 12:04:11 UTC ( ),20 September 2023 – 11:18:00 UTC ( ),79.05,69826,,1,0,0,1,0,1,0,0,0,0,2025-10-25T17:45:28.517252,https://steamdb.info/app/1260320/charts/
Fallout 76,1151340,Game,Bethesda Game Studios,Bethesda Softworks,Windows,,31887130,24 October 2025 – 16:54:39 UTC ( ),14 April 2020 – 11:00:00 UTC ( ),72.62,126597,,1,0,0,1,0,1,0,0,0,1,2025-10-25T17:45:56.621027,https://steamdb.info/app/1151340/charts/
Forza Horizon 5,1551360,Game,Playground Games,Xbox Game Studios,Windows,,31844608,22 October 2025 – 19:20:24 UTC ( ),9 November 2021 – 04:58:00 UTC ( ),88.71,243253,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:46:17.947359,https://steamdb.info/app/1551360/charts/
Assetto Corsa,244210,Game,Kunos Simulazioni,Kunos Simulazioni,Windows,,31896366,25 October 2025 – 07:19:40 UTC ( ),19 December 2014 – 08:48:00 UTC ( ),92.69,158984,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:46:47.518568,https://steamdb.info/app/244210/charts/
Eternal Return,1049590,Game,Nimble Neuron,"Nimble Neuron , SapStaR Games",Windows,"XIGNCODE3 AntiCheat , Unity Engine",31852414,23 October 2025 – 05:30:43 UTC ( ),20 July 2023 – 05:25:00 UTC ( ),75.7,69341,,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:47:15.334349,https://steamdb.info/app/1049590/charts/
Slay the Spire,646570,Game,Mega Crit,Mega Crit,Windows macOS Linux,,30521827,11 August 2025 – 04:07:13 UTC ( ),23 January 2019 – 15:50:00 UTC ( ),97.75,191130,,0,1,0,0,1,1,0,1,0,0,2025-10-25T17:47:37.712760,https://steamdb.info/app/646570/charts/
Russian Fishing 4,766570,Game,FishSoft LLC,FishSoft LLC,Windows,Unity Engine,31892223,24 October 2025 – 22:39:12 UTC ( ),11 November 2021 – 06:53:20 UTC ( ),55.77,77917,,1,0,0,1,0,1,0,1,0,0,2025-10-25T17:56:02.956223,https://steamdb.info/app/766570/charts/
Sons Of The Forest,1326470,Game,Endnight Games Ltd,Newnight,Windows,Unity Engine,31469654,3 October 2025 – 18:44:56 UTC ( ),22 February 2024 – 18:00:54 UTC ( ),87.9,273638,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:56:29.509514,https://steamdb.info/app/1326470/charts/
Umamusume: Pretty Derby,3224770,Game,"Cygames, Inc.","Cygames, Inc.",Windows,Unity Engine,31852059,23 October 2025 – 04:58:06 UTC ( ),25 June 2025 – 02:41:37 UTC ( ),93.08,32660,,1,0,0,1,0,0,0,0,0,0,2025-10-25T17:56:56.943083,https://steamdb.info/app/3224770/charts/
